,MovieSuccessLevel,voice_actor_count,director_count,Month,MPAA_rating_G,MPAA_rating_Not Rated,MPAA_rating_PG,MPAA_rating_PG-13,MPAA_rating_R,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western
0,C,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,A,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 5.0]",5.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,D,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
